nro_reuniao,dataReferencia,para_idx,text,char_len,word_count,label,label_auto
252,2023-02-01,3,"A conjuntura, particularmente incerta no âmbito fiscal e com expectativas de inflação se distanciando da meta em horizontes mais longos, demanda maior atenção na condução da política monetária.  O Comitê avalia que tal conjuntura eleva o custo da desinflação necessária para atingir as metas estabelecidas pelo Conselho Monetário Nacional. Nesse cenário, o Copom reafirma que conduzirá a política monetária necessária para o cumprimento das metas.",447,65,,expectativas
252,2023-02-01,4,"Considerando os cenários avaliados, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu manter a taxa básica de juros em 13,75% a.a. O Comitê entende que essa decisão reflete a incerteza ao redor de seus cenários e um balanço de riscos com variância ainda maior do que a usual para a inflação prospectiva, e é compatível com a estratégia de convergência da inflação para o redor da meta ao longo do horizonte relevante, que inclui os anos de 2023 e, em grau maior, de 2024. Sem prejuízo de seu objetivo fundamental de assegurar a estabilidade de preços, essa decisão também implica suavização das flutuações do nível de atividade econômica e fomento do pleno emprego.",698,119,,decisao
252,2023-02-01,5,"O Comitê segue vigilante, avaliando se a estratégia de manutenção da taxa básica de juros por período mais prolongado do que no cenário de referência será capaz de assegurar a convergência da inflação. O Comitê reforça que irá perseverar até que se consolide não apenas o processo de desinflação como também a ancoragem das expectativas em torno de suas metas, que têm mostrado deterioração em prazos mais longos desde a última reunião. O Comitê enfatiza que os passos futuros da política monetária poderão ser ajustados e não hesitará em retomar o ciclo de ajuste caso o processo de desinflação não transcorra como esperado.",625,103,,inflacao
252,2023-02-01,6,"Votaram por essa decisão os seguintes membros do Comitê: Roberto de Oliveira Campos Neto (presidente), Bruno Serra Fernandes, Carolina de Assis Barros, Diogo Abry Guillen, Fernanda Magalhães Rumenos Guardado, Maurício Costa de Moura, Otávio Ribeiro Damaso, Paulo Sérgio Neves de Souza e Renato Dias de Brito Gomes.",314,47,,votacao
252,2023-02-01,8,"* No cenário de referência, a trajetória para a taxa de juros é extraída da pesquisa Focus e a taxa de câmbio parte de USD/BRL 5,15, evoluindo segundo a paridade do poder de compra (PPC). O preço do petróleo segue aproximadamente a curva futura pelos próximos seis meses e passa a aumentar 2% ao ano posteriormente. Além disso, adota-se a hipótese de bandeira tarifária ""amarela"" em dezembro de 2023 e de 2024. O valor para o câmbio é obtido pelo procedimento usual de arredondar a cotação média da taxa de câmbio USD/BRL observada nos cinco dias úteis encerrados no último dia da semana anterior à da reunião do Copom.",619,109,,premissas
253,2023-03-22,0,"Desde a reunião anterior do Comitê de Política Monetária (Copom), o ambiente externo se deteriorou. Os episódios envolvendo bancos nos EUA e na Europa elevaram a incerteza e a volatilidade dos mercados e requerem monitoramento. Em paralelo, dados recentes de atividade e inflação globais se mantêm resilientes e a política monetária nas economias centrais segue avançando em trajetória contracionista.",401,59,,cenario_externo
253,2023-03-22,1,"Em relação ao cenário doméstico, o conjunto dos indicadores mais recentes de atividade econômica segue corroborando o cenário de desaceleração esperado pelo Copom. A inflação ao consumidor, assim como suas diversas medidas de inflação subjacente, segue acima do intervalo compatível com o cumprimento da meta para a inflação. As expectativas de inflação para 2023 e 2024 apuradas pela pesquisa Focus se elevaram desde a reunião anterior do Copom e encontram-se em torno de 6,0% e 4,1%, respectivamente.",502,77,,expectativas
253,2023-03-22,2,"Na mesma linha, as projeções de inflação do Copom em seu cenário de referência* elevaram-se para 5,8% em 2023 e para 3,6% em 2024. As projeções para a inflação de preços administrados são de 10,2% em 2023 e 5,3% em 2024. O Comitê optou novamente por dar ênfase ao horizonte de seis trimestres à frente, referente ao terceiro trimestre de 2024, cuja projeção de inflação acumulada em doze meses situa-se em 3,8%. Em cenário alternativo, no qual a taxa Selic é mantida constante ao longo de todo o horizonte relevante, as projeções de inflação situam-se em 5,7% para 2023, 3,3% para o terceiro trimestre de 2024 e 3,0% para 2024. O Comitê julga que a incerteza em torno das suas premissas e projeções atualmente é maior do que o usual.",733,130,,projecoes
253,2023-03-22,3,"O Comitê ressalta que, em seus cenários para a inflação, permanecem fatores de risco em ambas as direções. Entre os riscos de alta para o cenário inflacionário e as expectativas de inflação, destacam-se (i) uma maior persistência das pressões inflacionárias globais; (ii) a incerteza sobre o arcabouço fiscal e seus impactos sobre as expectativas para a trajetória da dívida pública; e (iii) uma desancoragem maior, ou mais duradoura, das expectativas de inflação para prazos mais longos. Entre os riscos de baixa, ressaltam-se (i) uma queda adicional dos preços das commodities internacionais em moeda local; (ii) uma desaceleração da atividade econômica global mais acentuada do que a projetada, em particular em função de condições adversas no sistema financeiro global; e (iii) uma desaceleração na concessão doméstica de crédito maior do que seria compatível com o atual estágio do ciclo de política monetária.",915,141,,riscos_alta
253,2023-03-22,4,"Por um lado, a recente reoneração dos combustíveis reduziu a incerteza dos resultados fiscais de curto prazo. Por outro lado, a conjuntura, marcada por alta volatilidade nos mercados financeiros e expectativas de inflação desancoradas em relação às metas em horizontes mais longos, demanda maior atenção na condução da política monetária.  O Comitê avalia que a desancoragem das expectativas de longo prazo eleva o custo da desinflação necessária para atingir as metas estabelecidas pelo Conselho Monetário Nacional. Nesse cenário, o Copom reafirma que conduzirá a política monetária necessária para o cumprimento das metas.",624,92,,expectativas
253,2023-03-22,5,"Considerando os cenários avaliados, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu manter a taxa básica de juros em 13,75% a.a. O Comitê entende que essa decisão é compatível com a estratégia de convergência da inflação para o redor da meta ao longo do horizonte relevante, que inclui os anos de 2023 e, em grau maior, de 2024. Sem prejuízo de seu objetivo fundamental de assegurar a estabilidade de preços, essa decisão também implica suavização das flutuações do nível de atividade econômica e fomento do pleno emprego.",557,93,,decisao
253,2023-03-22,6,"Considerando a incerteza ao redor de seus cenários, o Comitê segue vigilante, avaliando se a estratégia de manutenção da taxa básica de juros por período prolongado será capaz de assegurar a convergência da inflação. O Comitê reforça que irá perseverar até que se consolide não apenas o processo de desinflação como também a ancoragem das expectativas em torno de suas metas, que mostrou deterioração adicional, especialmente em prazos mais longos. O Comitê enfatiza que os passos futuros da política monetária poderão ser ajustados e não hesitará em retomar o ciclo de ajuste caso o processo de desinflação não transcorra como esperado.",637,101,,inflacao
253,2023-03-22,8,"Votaram por essa decisão os seguintes membros do Comitê: Roberto de Oliveira Campos Neto (presidente), Bruno Serra Fernandes, Carolina de Assis Barros, Diogo Abry Guillen, Fernanda Magalhães Rumenos Guardado, Maurício Costa de Moura, Otávio Ribeiro Damaso, Paulo Sérgio Neves de Souza e Renato Dias de Brito Gomes.",314,47,,votacao
253,2023-03-22,10,"* No cenário de referência, a trajetória para a taxa de juros é extraída da pesquisa Focus e a taxa de câmbio parte de USD/BRL 5,25, evoluindo segundo a paridade do poder de compra (PPC). O preço do petróleo segue aproximadamente a curva futura pelos próximos seis meses e passa a aumentar 2% ao ano posteriormente. Além disso, adota-se a hipótese de bandeira tarifária ""amarela"" em dezembro de 2023 e de 2024. O valor para o câmbio é obtido pelo procedimento usual de arredondar a cotação média da taxa de câmbio USD/BRL observada nos cinco dias úteis encerrados no último dia da semana anterior à da reunião do Copom.",619,109,,premissas
254,2023-05-03,0,"O ambiente externo se mantém adverso. Os episódios envolvendo bancos no exterior têm elevado a incerteza, mas com contágio limitado sobre as condições financeiras até o momento, requerendo contínuo monitoramento. Em paralelo, os bancos centrais das principais economias seguem determinados em promover a convergência das taxas de inflação para suas metas, em um ambiente em que a inflação se mostra resiliente.",410,61,,cenario_externo
254,2023-05-03,1,"Em relação ao cenário doméstico, o conjunto dos indicadores mais recentes de atividade econômica segue corroborando o cenário de desaceleração esperado pelo Copom, ainda que exibindo maior resiliência no mercado de trabalho. A inflação ao consumidor, assim como suas diversas medidas de inflação subjacente, segue acima do intervalo compatível com o cumprimento da meta para a inflação. As expectativas de inflação para 2023 e 2024 apuradas pela pesquisa Focus elevaram-se marginalmente e encontram-se em torno de 6,1% e 4,2%, respectivamente.",543,80,,expectativas
254,2023-05-03,2,"As projeções de inflação do Copom em seu cenário de referência* situam-se em 5,8% em 2023 e 3,6% em 2024. As projeções para a inflação de preços administrados são de 10,8% em 2023 e 5,2% em 2024. Em cenário alternativo, no qual a taxa Selic é mantida constante ao longo de todo o horizonte relevante, as projeções de inflação situam-se em 5,7% para 2023 e 2,9% para 2024.",371,68,,projecoes
254,2023-05-03,3,"O Comitê ressalta que, em seus cenários para a inflação, permanecem fatores de risco em ambas as direções. Entre os riscos de alta para o cenário inflacionário e as expectativas de inflação, destacam-se (i) uma maior persistência das pressões inflacionárias globais; (ii) a incerteza ainda presente sobre o desenho final do arcabouço fiscal a ser aprovado pelo Congresso Nacional e, de forma mais relevante para a condução da política monetária, seus impactos sobre as expectativas para as trajetórias da dívida pública e da inflação, e sobre os ativos de risco; e (iii) uma desancoragem maior, ou mais duradoura, das expectativas de inflação para prazos mais longos. Entre os riscos de baixa, ressaltam-se (i) uma queda adicional dos preços das commodities internacionais em moeda local; (ii) uma desaceleração da atividade econômica global mais acentuada do que a projetada, em particular em função de condições adversas no sistema financeiro global; e (iii) uma desaceleração na concessão doméstica de crédito maior do que seria compatível com o atual estágio do ciclo de política monetária.",1094,171,,riscos_alta
254,2023-05-03,4,"Por um lado, a reoneração dos combustíveis e, principalmente, a apresentação de uma proposta de arcabouço fiscal reduziram parte da incerteza advinda da política fiscal. Por outro lado, a conjuntura, caracterizada por um estágio em que o processo desinflacionário tende a ser mais lento em ambiente de expectativas de inflação desancoradas, demanda maior atenção na condução da política monetária.  O Copom enfatiza que não há relação mecânica entre a convergência de inflação e a aprovação do arcabouço fiscal, e avalia que a desancoragem das expectativas de longo prazo eleva o custo da desinflação necessária para atingir as metas estabelecidas pelo Conselho Monetário Nacional. Nesse cenário, o Copom reafirma que conduzirá a política monetária necessária para o cumprimento das metas.",789,119,,expectativas
254,2023-05-03,5,"Considerando os cenários avaliados, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu manter a taxa básica de juros em 13,75% a.a. O Comitê entende que essa decisão é compatível com a estratégia de convergência da inflação para o redor da meta ao longo do horizonte relevante, que inclui o ano de 2024. Sem prejuízo de seu objetivo fundamental de assegurar a estabilidade de preços, essa decisão também implica suavização das flutuações do nível de atividade econômica e fomento do pleno emprego.",529,87,,decisao
254,2023-05-03,6,"Considerando a incerteza ao redor de seus cenários, o Comitê segue vigilante, avaliando se a estratégia de manutenção da taxa básica de juros por período prolongado será capaz de assegurar a convergência da inflação. O Comitê reforça que irá perseverar até que se consolide não apenas o processo de desinflação como também a ancoragem das expectativas em torno de suas metas. O Comitê avalia que a conjuntura demanda paciência e serenidade na condução da política monetária. O Copom enfatiza que, apesar de ser um cenário menos provável, não hesitará em retomar o ciclo de ajuste caso o processo de desinflação não transcorra como esperado.",640,104,,inflacao
254,2023-05-03,7,"Votaram por essa decisão os seguintes membros do Comitê: Roberto de Oliveira Campos Neto (presidente), Diogo Abry Guillen, Fernanda Magalhães Rumenos Guardado, Maurício Costa de Moura, Otávio Ribeiro Damaso, Paulo Sérgio Neves de Souza e Renato Dias de Brito Gomes.",265,40,,votacao
254,2023-05-03,9,"* No cenário de referência, a trajetória para a taxa de juros é extraída da pesquisa Focus e a taxa de câmbio parte de USD/BRL 5,05, evoluindo segundo a paridade do poder de compra (PPC). O preço do petróleo segue aproximadamente a curva futura pelos próximos seis meses e passa a aumentar 2% ao ano posteriormente. Além disso, adota-se a hipótese de bandeira tarifária ""verde"" em dezembro de 2023 e de 2024. O valor para o câmbio é obtido pelo procedimento usual de arredondar a cotação média da taxa de câmbio USD/BRL observada nos cinco dias úteis encerrados no último dia da semana anterior à da reunião do Copom.",617,109,,premissas
255,2023-06-21,0,"O ambiente externo se mantém adverso, ainda que com revisões positivas para o crescimento do ano. Apesar da atenuação do estresse envolvendo bancos nos EUA e na Europa, a situação segue demandando monitoramento. Os bancos centrais das principais economias permanecem determinados em promover a convergência das taxas de inflação para suas metas, inclusive com a retomada de ciclos de elevação de juros em algumas economias, em um ambiente em que a inflação se mostra resiliente.",478,75,,cenario_externo
255,2023-06-21,1,"Em relação ao cenário doméstico, o conjunto dos indicadores mais recentes de atividade econômica segue consistente com um cenário de desaceleração da economia nos próximos trimestres. O crescimento acima do esperado no primeiro trimestre refletiu principalmente o forte desempenho do setor agropecuário. Não obstante o arrefecimento recente dos índices de inflação cheia ao consumidor, antecipa-se uma elevação da inflação acumulada em doze meses ao longo do segundo semestre. Ademais, diversas medidas de inflação subjacente seguem acima do intervalo compatível com o cumprimento da meta para a inflação. As expectativas de inflação para 2023 e 2024 apuradas pela pesquisa Focus recuaram e encontram-se em torno de 5,1% e 4,0%, respectivamente.",745,109,,expectativas
255,2023-06-21,2,"As projeções de inflação do Copom em seu cenário de referência* situam-se em 5,0% em 2023 e 3,4% em 2024. As projeções para a inflação de preços administrados são de 9,0% em 2023 e 4,6% em 2024.",194,37,,projecoes
255,2023-06-21,3,"O Comitê ressalta que, em seus cenários para a inflação, permanecem fatores de risco em ambas as direções. Entre os riscos de alta para o cenário inflacionário e as expectativas de inflação, destacam-se (i) uma maior persistência das pressões inflacionárias globais; (ii) alguma incerteza residual sobre o desenho final do arcabouço fiscal a ser aprovado pelo Congresso Nacional e, de forma mais relevante para a condução da política monetária, seus impactos sobre as expectativas para as trajetórias da dívida pública e da inflação, e sobre os ativos de risco; e (iii) uma desancoragem maior, ou mais duradoura, das expectativas de inflação para prazos mais longos. Entre os riscos de baixa, ressaltam-se (i) uma queda adicional dos preços das commodities internacionais em moeda local, ainda que parte importante desse movimento já tenha sido verificado; (ii) uma desaceleração da atividade econômica global mais acentuada do que a projetada, em particular em função de condições adversas no sistema financeiro global; e (iii) uma desaceleração na concessão doméstica de crédito maior do que seria compatível com o atual estágio do ciclo de política monetária.",1162,180,,riscos_alta
255,2023-06-21,4,"Considerando os cenários avaliados, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu manter a taxa básica de juros em 13,75% a.a. e entende que essa decisão é compatível com a estratégia de convergência da inflação para o redor da meta ao longo do horizonte relevante, que inclui o ano de 2024. Sem prejuízo de seu objetivo fundamental de assegurar a estabilidade de preços, essa decisão também implica suavização das flutuações do nível de atividade econômica e fomento do pleno emprego.",522,86,,decisao
255,2023-06-21,5,"A conjuntura atual, caracterizada por um estágio do processo desinflacionário que tende a ser mais lento e por expectativas de inflação desancoradas, segue demandando cautela e parcimônia. O Copom conduzirá a política monetária necessária para o cumprimento das metas e avalia que a estratégia de manutenção da taxa básica de juros por período prolongado tem se mostrado adequada para assegurar a convergência da inflação. O Comitê reforça que irá perseverar até que se consolide não apenas o processo de desinflação como também a ancoragem das expectativas em torno de suas metas. O Comitê avalia que a conjuntura demanda paciência e serenidade na condução da política monetária e relembra que os passos futuros da política monetária dependerão da evolução da dinâmica inflacionária, em especial dos componentes mais sensíveis à política monetária e à atividade econômica, das expectativas de inflação, em particular as de maior prazo, de suas projeções de inflação, do hiato do produto e do balanço de riscos.",1011,158,,projecoes
255,2023-06-21,6,"Votaram por essa decisão os seguintes membros do Comitê: Roberto de Oliveira Campos Neto (presidente), Carolina de Assis Barros, Diogo Abry Guillen, Fernanda Magalhães Rumenos Guardado, Maurício Costa de Moura, Otávio Ribeiro Damaso, Paulo Sérgio Neves de Souza e Renato Dias de Brito Gomes.",291,44,,votacao
255,2023-06-21,8,"* No cenário de referência, a trajetória para a taxa de juros é extraída da pesquisa Focus e a taxa de câmbio parte de USD/BRL 4,85, evoluindo segundo a paridade do poder de compra (PPC). O preço do petróleo segue aproximadamente a curva futura pelos próximos seis meses e passa a aumentar 2% ao ano posteriormente. Além disso, adota-se a hipótese de bandeira tarifária ""verde"" em dezembro de 2023 e de 2024. O valor para o câmbio é obtido pelo procedimento usual de arredondar a cotação média da taxa de câmbio USD/BRL observada nos cinco dias úteis encerrados no último dia da semana anterior à da reunião do Copom.",617,109,,premissas
256,2023-08-02,0,"O ambiente externo mostra-se incerto, com alguma desinflação sendo observada na margem, mas em um ambiente marcado por núcleos de inflação ainda elevados e resiliência nos mercados de trabalho de diversos países. Os bancos centrais das principais economias permanecem determinados em promover a convergência das taxas de inflação para suas metas.",346,51,,cenario_externo
256,2023-08-02,1,"Em relação ao cenário doméstico, o conjunto dos indicadores mais recentes de atividade econômica segue consistente com um cenário de desaceleração da economia nos próximos trimestres. Não obstante o arrefecimento dos índices de inflação cheia ao consumidor, antecipa-se uma elevação da inflação acumulada em doze meses ao longo do segundo semestre. As medidas mais recentes de inflação subjacente apresentaram queda, mas ainda se situam acima da meta para a inflação. As expectativas de inflação para 2023, 2024 e 2025 apuradas pela pesquisa Focus recuaram e encontram-se em torno de 4,8%, 3,9% e 3,5%, respectivamente.",619,94,,expectativas
256,2023-08-02,2,"As projeções de inflação do Copom em seu cenário de referência* situam-se em 4,9% em 2023, 3,4% em 2024 e 3,0% em 2025. As projeções para a inflação de preços administrados são de 9,4% em 2023, 4,6% em 2024 e 3,5% em 2025.",222,43,,projecoes
256,2023-08-02,3,"O Comitê ressalta que, em seus cenários para a inflação, permanecem fatores de risco em ambas as direções. Entre os riscos de alta para o cenário inflacionário e as expectativas de inflação, destacam-se (i) uma maior persistência das pressões inflacionárias globais; e (ii) uma maior resiliência na inflação de serviços do que a projetada em função de um hiato do produto mais apertado. Entre os riscos de baixa, ressaltam-se (i) uma desaceleração da atividade econômica global mais acentuada do que a projetada, em particular em função de condições adversas no sistema financeiro global; e (ii) os impactos do aperto monetário sincronizado sobre a desinflação global se mostrarem mais fortes do que o esperado.",711,113,,riscos_alta
256,2023-08-02,4,"O Comitê avalia que a melhora do quadro inflacionário, refletindo em parte os impactos defasados da política monetária, aliada à queda das expectativas de inflação para prazos mais longos, após decisão recente do Conselho Monetário Nacional sobre a meta para a inflação, permitiram acumular a confiança necessária para iniciar um ciclo gradual de flexibilização monetária.",372,55,,expectativas
256,2023-08-02,5,"Considerando os cenários avaliados, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu reduzir a taxa básica de juros em 0,50 ponto percentual, para 13,25% a.a., e entende que essa decisão é compatível com a estratégia de convergência da inflação para o redor da meta ao longo do horizonte relevante, que inclui o ano de 2024 e, em grau menor, o de 2025. Sem prejuízo de seu objetivo fundamental de assegurar a estabilidade de preços, essa decisão também implica suavização das flutuações do nível de atividade econômica e fomento do pleno emprego.",580,97,,decisao
256,2023-08-02,6,O Comitê reforça a necessidade de perseverar com uma política monetária contracionista até que se consolide não apenas o processo de desinflação como também a ancoragem das expectativas em torno de suas metas.,209,33,,inflacao
256,2023-08-02,7,"O Copom avaliou a alternativa de reduzir a taxa básica de juros para 13,50%, mas considerou ser apropriado adotar ritmo de queda de 0,50 ponto percentual nesta reunião em função da melhora do quadro inflacionário, reforçando, no entanto, o firme objetivo de manter uma política monetária contracionista para a reancoragem das expectativas e a convergência da inflação para a meta no horizonte relevante. A conjuntura atual, caracterizada por um estágio do processo desinflacionário que tende a ser mais lento e por expectativas de inflação com reancoragem parcial, demanda serenidade e moderação na condução da política monetária. Em se confirmando o cenário esperado, os membros do Comitê, unanimemente, anteveem redução de mesma magnitude nas próximas reuniões e avaliam que esse é o ritmo apropriado para manter a política monetária contracionista necessária para o processo desinflacionário. O Comitê ressalta ainda que a magnitude total do ciclo de flexibilização ao longo do tempo dependerá da evolução da dinâmica inflacionária, em especial dos componentes mais sensíveis à política monetária e à atividade econômica, das expectativas de inflação, em particular as de maior prazo, de suas projeções de inflação, do hiato do produto e do balanço de riscos.",1262,193,,votacao
256,2023-08-02,8,"Votaram por uma redução de 0,50 ponto percentual os seguintes membros do Comitê: Roberto de Oliveira Campos Neto (presidente), Ailton de Aquino Santos, Carolina de Assis Barros, Gabriel Muricca Galípolo e Otávio Ribeiro Damaso.  Votaram por uma redução de 0,25 ponto percentual os seguintes membros: Diogo Abry Guillen, Fernanda Magalhães Rumenos Guardado, Maurício Costa de Moura e Renato Dias de Brito Gomes.",410,62,,votacao
256,2023-08-02,10,"* No cenário de referência, a trajetória para a taxa de juros é extraída da pesquisa Focus e a taxa de câmbio parte de USD/BRL 4,75, evoluindo segundo a paridade do poder de compra (PPC). O preço do petróleo segue aproximadamente a curva futura pelos próximos seis meses e passa a aumentar 2% ao ano posteriormente. Além disso, adota-se a hipótese de bandeira tarifária ""verde"" em dezembro de 2023, de 2024 e de 2025. O valor para o câmbio é obtido pelo procedimento usual de arredondar a cotação média da taxa de câmbio USD/BRL observada nos cinco dias úteis encerrados no último dia da semana anterior à da reunião do Copom.",626,111,,premissas
257,2023-09-20,0,"O ambiente externo mostra-se mais incerto, com a continuidade do processo de desinflação, a despeito de núcleos de inflação ainda elevados e resiliência nos mercados de trabalho de diversos países. Os bancos centrais das principais economias permanecem determinados em promover a convergência das taxas de inflação para suas metas. O Comitê notou a elevação das taxas de juros de longo prazo dos Estados Unidos e a perspectiva de menor crescimento na China, ambos exigindo maior atenção por parte de países emergentes.",518,81,,cenario_externo
257,2023-09-20,1,"Em relação ao cenário doméstico, observou-se maior resiliência da atividade econômica do que anteriormente esperado, mas o Copom segue antecipando um cenário de desaceleração da economia nos próximos trimestres. Como antecipado, ocorreu uma elevação da inflação cheia ao consumidor acumulada em doze meses no período recente. As medidas mais recentes de inflação subjacente apresentaram queda, mas ainda se situam acima da meta para a inflação. As expectativas de inflação para 2023, 2024 e 2025 apuradas pela pesquisa Focus encontram-se em torno de 4,9%, 3,9% e 3,5%, respectivamente.",585,87,,expectativas
257,2023-09-20,2,"As projeções de inflação do Copom em seu cenário de referência* situam-se em 5,0% em 2023, 3,5% em 2024 e 3,1% em 2025. As projeções para a inflação de preços administrados são de 10,5% em 2023, 4,5% em 2024 e 3,6% em 2025.",223,43,,projecoes
257,2023-09-20,3,"O Comitê ressalta que, em seus cenários para a inflação, permanecem fatores de risco em ambas as direções. Entre os riscos de alta para o cenário inflacionário e as expectativas de inflação, destacam-se (i) uma maior persistência das pressões inflacionárias globais; e (ii) uma maior resiliência na inflação de serviços do que a projetada em função de um hiato do produto mais apertado. Entre os riscos de baixa, ressaltam-se (i) uma desaceleração da atividade econômica global mais acentuada do que a projetada; e (ii) os impactos do aperto monetário sincronizado sobre a desinflação global se mostrarem mais fortes do que o esperado.",635,102,,riscos_alta
257,2023-09-20,4,"Tendo em conta a importância da execução das metas fiscais já estabelecidas para a ancoragem das expectativas de inflação e, consequentemente, para a condução da política monetária, o Comitê reforça a importância da firme persecução dessas metas.",246,37,,expectativas
257,2023-09-20,5,"Considerando a evolução do processo de desinflação, os cenários avaliados, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu reduzir a taxa básica de juros em 0,50 ponto percentual, para 12,75% a.a., e entende que essa decisão é compatível com a estratégia de convergência da inflação para o redor da meta ao longo do horizonte relevante, que inclui o ano de 2024 e, em grau menor, o de 2025. Sem prejuízo de seu objetivo fundamental de assegurar a estabilidade de preços, essa decisão também implica suavização das flutuações do nível de atividade econômica e fomento do pleno emprego.",619,103,,decisao
257,2023-09-20,6,"A conjuntura atual, caracterizada por um estágio do processo desinflacionário que tende a ser mais lento e por expectativas de inflação com reancoragem parcial, demanda serenidade e moderação na condução da política monetária. O Comitê reforça a necessidade de perseverar com uma política monetária contracionista até que se consolide não apenas o processo de desinflação como também a ancoragem das expectativas em torno de suas metas.",436,66,,expectativas
257,2023-09-20,7,"Em se confirmando o cenário esperado, os membros do Comitê, unanimemente, anteveem redução de mesma magnitude nas próximas reuniões e avaliam que esse é o ritmo apropriado para manter a política monetária contracionista necessária para o processo desinflacionário. O Comitê ressalta ainda que a magnitude total do ciclo de flexibilização ao longo do tempo dependerá da evolução da dinâmica inflacionária, em especial dos componentes mais sensíveis à política monetária e à atividade econômica, das expectativas de inflação, em particular as de maior prazo, de suas projeções de inflação, do hiato do produto e do balanço de riscos.",631,97,,votacao
